Headline ID,Body ID,Stance
0,0,2
1,0,2
2,0,2
3,0,2
4,0,2
5,0,2
6,0,2
7,0,2
8,0,2
9,0,2
10,0,2
11,0,2
12,0,0
13,0,2
14,0,2
15,0,2
16,0,2
17,0,2
18,0,2
19,0,2
20,0,2
21,0,2
22,0,2
23,0,2
24,0,2
25,0,2
26,0,2
27,0,2
28,0,2
29,0,2
30,0,2
31,0,2
32,0,2
33,0,2
34,0,2
35,0,2
36,1,0
37,1,2
38,1,2
39,1,2
40,1,2
41,1,2
42,1,2
43,1,2
44,1,2
45,1,2
46,1,2
47,1,2
48,1,2
49,1,2
50,1,2
51,1,2
52,1,2
53,1,2
54,1,2
55,2,2
56,2,2
57,2,2
58,2,2
59,2,2
60,2,2
61,2,2
62,2,2
63,2,2
64,2,2
65,2,2
66,2,2
67,2,2
68,2,2
69,2,2
70,2,2
71,2,0
72,2,2
73,2,2
74,2,2
75,2,2
76,2,2
77,2,2
78,2,2
79,2,2
80,2,2
81,2,2
82,2,2
83,2,2
84,2,2
85,2,2
86,2,2
87,2,2
88,2,2
89,2,2
90,2,2
91,2,2
92,2,2
93,2,2
94,2,2
95,2,2
96,2,2
97,2,2
98,2,2
99,2,2
100,2,2
101,2,2
102,2,2
103,2,2
104,2,2
105,2,2
106,2,2
107,2,2
108,2,2
109,2,2
110,2,2
111,2,2
112,2,2
113,2,2
114,2,2
115,2,2
116,2,2
117,2,2
118,2,2
119,2,2
120,2,2
121,2,2
122,2,2
123,3,2
36,3,2
124,3,2
68,3,2
59,3,2
122,3,2
125,3,2
91,3,2
116,3,2
107,3,2
55,3,2
126,3,2
127,3,2
128,3,2
76,3,2
105,3,2
129,3,2
101,3,2
130,3,2
131,3,2
83,3,2
98,3,2
132,3,2
133,3,2
96,3,2
120,3,2
108,3,2
112,3,2
134,3,2
81,3,2
70,3,2
56,3,2
90,3,2
135,3,2
102,3,2
94,3,2
58,3,2
63,3,2
136,3,2
106,3,2
66,3,2
137,3,2
115,3,2
99,3,2
111,3,2
119,3,2
138,3,2
139,3,2
140,3,2
80,3,2
89,3,2
113,3,2
65,3,2
141,3,2
79,3,2
121,3,2
77,3,2
142,3,2
104,3,2
84,3,2
143,3,2
86,3,2
144,3,2
145,3,2
72,3,2
64,3,2
100,3,2
114,3,2
146,3,2
62,3,2
88,3,2
147,3,2
148,3,1
117,3,2
97,3,2
75,3,2
149,3,2
69,3,2
95,3,2
109,3,2
74,3,2
60,3,2
150,3,2
73,3,2
151,3,2
118,3,2
67,3,2
152,3,2
78,3,2
93,3,2
87,3,2
57,3,2
71,3,2
92,3,2
153,3,2
154,3,2
85,3,2
61,3,2
82,3,2
155,3,2
110,3,2
103,3,2
156,3,2
157,4,1
158,5,2
159,5,2
160,5,2
161,5,2
162,5,2
163,5,2
164,5,2
165,5,2
166,5,2
167,5,2
168,5,2
169,5,2
170,5,2
171,5,2
172,5,2
173,5,2
174,5,2
175,5,2
176,5,2
177,5,2
178,5,2
179,5,2
180,5,2
161,5,2
181,5,2
182,5,2
183,5,2
184,5,2
185,5,2
186,5,2
187,5,2
188,5,2
189,5,2
190,5,2
191,5,2
192,5,1
193,5,2
194,5,2
195,5,2
196,5,2
197,5,1
198,5,2
199,5,2
200,5,2
201,5,2
202,5,2
203,5,2
204,5,2
205,5,2
206,5,2
207,5,2
208,5,2
